start training
[172/200][0/39]	Loss_D: 0.188121	Loss_g: 4.471406	D(x): 0.980382	D(G(z)): 0.144367 / 0.017089
[173/200][0/39]	Loss_D: 0.157392	Loss_g: 3.143877	D(x): 0.894389	D(G(z)): 0.038752 / 0.069135
[174/200][0/39]	Loss_D: 1.073933	Loss_g: 0.801991	D(x): 0.602317	D(G(z)): 0.297703 / 0.499646
[175/200][0/39]	Loss_D: 0.188600	Loss_g: 3.932602	D(x): 0.923646	D(G(z)): 0.093251 / 0.032517
[176/200][0/39]	Loss_D: 0.175502	Loss_g: 3.332044	D(x): 0.934384	D(G(z)): 0.093719 / 0.052086
[177/200][0/39]	Loss_D: 0.155396	Loss_g: 3.171447	D(x): 0.907075	D(G(z)): 0.051544 / 0.064987
[178/200][0/39]	Loss_D: 0.144944	Loss_g: 3.070284	D(x): 0.905753	D(G(z)): 0.039847 / 0.063474
[179/200][0/39]	Loss_D: 0.203456	Loss_g: 3.260769	D(x): 0.982783	D(G(z)): 0.156112 / 0.055726
[180/200][0/39]	Loss_D: 0.356861	Loss_g: 1.838706	D(x): 0.729470	D(G(z)): 0.010137 / 0.232199
[181/200][0/39]	Loss_D: 0.113749	Loss_g: 4.011162	D(x): 0.966823	D(G(z)): 0.070449 / 0.030986
[182/200][0/39]	Loss_D: 0.119239	Loss_g: 3.315940	D(x): 0.932950	D(G(z)): 0.046658 / 0.052928
[183/200][0/39]	Loss_D: 0.127558	Loss_g: 4.153543	D(x): 0.987375	D(G(z)): 0.100876 / 0.023000
[184/200][0/39]	Loss_D: 0.093994	Loss_g: 4.314665	D(x): 0.959424	D(G(z)): 0.048572 / 0.024111
[185/200][0/39]	Loss_D: 0.185866	Loss_g: 2.626313	D(x): 0.846867	D(G(z)): 0.011853 / 0.100133
[186/200][0/39]	Loss_D: 1.002362	Loss_g: 5.268856	D(x): 0.905612	D(G(z)): 0.469121 / 0.011291
[187/200][0/39]	Loss_D: 0.165674	Loss_g: 4.018675	D(x): 0.963787	D(G(z)): 0.114522 / 0.026536
[188/200][0/39]	Loss_D: 0.137861	Loss_g: 4.186590	D(x): 0.974302	D(G(z)): 0.100562 / 0.022248
[189/200][0/39]	Loss_D: 2.685442	Loss_g: 3.630521	D(x): 0.917151	D(G(z)): 0.836405 / 0.049968
[190/200][0/39]	Loss_D: 0.183758	Loss_g: 3.032070	D(x): 0.930172	D(G(z)): 0.098106 / 0.073467
[191/200][0/39]	Loss_D: 0.340171	Loss_g: 4.951350	D(x): 0.989955	D(G(z)): 0.253935 / 0.010153
[192/200][0/39]	Loss_D: 0.103074	Loss_g: 3.944433	D(x): 0.954531	D(G(z)): 0.052289 / 0.029157
[193/200][0/39]	Loss_D: 0.088978	Loss_g: 4.014244	D(x): 0.955185	D(G(z)): 0.040674 / 0.029103
[194/200][0/39]	Loss_D: 0.081107	Loss_g: 4.257255	D(x): 0.962208	D(G(z)): 0.040282 / 0.021387
[195/200][0/39]	Loss_D: 0.103287	Loss_g: 3.418083	D(x): 0.943452	D(G(z)): 0.041718 / 0.051344
[196/200][0/39]	Loss_D: 0.098734	Loss_g: 4.142812	D(x): 0.950446	D(G(z)): 0.043718 / 0.027666
[197/200][0/39]	Loss_D: 0.117726	Loss_g: 4.065710	D(x): 0.950025	D(G(z)): 0.056239 / 0.027033
[198/200][0/39]	Loss_D: 0.068113	Loss_g: 4.376075	D(x): 0.957863	D(G(z)): 0.023796 / 0.021074
[199/200][0/39]	Loss_D: 0.097983	Loss_g: 4.184361	D(x): 0.954091	D(G(z)): 0.046499 / 0.025404
training finish
